Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Label
Studying How Patient Engagement Influences Research: A Mixed Methods Study.,Marshall DA; Suryaprakash N; Lavallee DC; McCarron TL; Zelinsky S; Barker KL; MacKean G; Santana MJ; Moayyedi P; Bryan S,"BACKGROUND: There is evidence supporting the value of patient engagement (PE) in research to patients and researchers. However, there is little research evidence on the influence of PE throughout the entire research process as well as the outcomes of research engagement. The purpose of our study is to add to this evidence. METHODS: We used a convergent mixed method design to guide the integration of our survey data and observation data to assess the influence of PE in two groups, comprising patient research partners (PRPs), clinicians, and researchers. A PRP led one group (PLG) and an academic researcher led the other (RLG). Both groups were given the same research question and tasked to design and conduct an inflammatory bowel disease (IBD)-related patient preference study. We administered validated evaluation tools at three points and observed PE in the two groups conducting the IBD study. RESULTS: PRPs in both groups took on many operational roles and influenced all stages of the IBD-related qualitative study: launch, design, implementation, and knowledge translation. PRPs provided more clarity on the study design, target population, inclusion-exclusion criteria, data collection approach, and the results. PRPs helped operationalize the project question, develop study material and data collection instruments, collect data, and present the data in a relevant and understandable manner to the patient community. The synergy of collaborative partnership resulted in two projects that were patient-centered, meaningful, understandable, legitimate, rigorous, adaptable, feasible, ethical and transparent, timely, and sustainable. CONCLUSION: Collaborative and meaningful engagement of patients and researchers can influence all stages of qualitative research including design and approach, and outputs.",2024,Mar,Patient,,,,,10.1007/s40271-024-00685-8,38488995,#236,Marshall 2024,,,0
Perinatal mental health and COVID-19: Navigating a way forward.,Smith KA; Howard LM; Vigod SN; D'Agostino A; Cipriani A,"The COVID-19 pandemic and its aftermath have increased pre-existing inequalities and risk factors for mental disorders in general, but perinatal mental disorders are of particular concern. They are already underdiagnosed and undertreated, and this has been magnified by the pandemic. Access to services (both psychiatric and obstetric) has been reduced, and in-person contact has been restricted because of the increased risks. Rates of perinatal anxiety and depressive symptoms have increased. In the face of these challenges, clear guidance in perinatal mental health is needed for patients and clinicians. However, a systematic search of the available resources showed only a small amount of guidance from a few countries, with a focus on the acute phase of the pandemic rather than the challenges of new variants and variable rates of infection. Telepsychiatry offers advantages during times of restricted social contact and also as an additional route for accessing a wide range of digital technologies. While there is a strong evidence base for general telepsychiatry, the particular issues in perinatal mental health need further examination. Clinicians will need expertise and training to navigate a hybrid model, flexibly combining in person and remote assessments according to risk, clinical need and individual patient preferences. There are also wider issues of care planning in the context of varying infection rates, restrictions and vaccination access in different countries. Clinicians will need to focus on prevention, treatment, risk assessment and symptom monitoring, but there will also need to be an urgent and coordinated focus on guidance and planning across all organisations involved in perinatal mental health care.",2023,Jul,Aust N Z J Psychiatry,57,7,937-943,,10.1177/00048674221137819,36440619,#1138,Smith 2023,,,0
Survival Outcomes in Older Women with Oestrogen-Receptor-Positive Early-Stage Breast Cancer: Primary Endocrine Therapy vs. Surgery by Comorbidity and Frailty Levels.,Wang Y; Steinke D; Gavan SP; Chen TC; Carr MJ; Ashcroft DM; Cheung KL; Chen LC,"Primary endocrine therapy (PET) offers non-surgical treatment for older women with early-stage breast cancer who are unsuitable for surgery due to frailty or comorbidity. This research assessed all-cause and breast cancer-specific mortality of PET vs. surgery in older women (≥70 years) with oestrogen-receptor-positive early-stage breast cancer by frailty and comorbidity levels. This study used UK secondary data to analyse older female patients from 2000 to 2016. Patients were censored until 31 May 2019 and grouped by the Charlson comorbidity index (CCI) and hospital frailty risk score (HFRS). Cox regression models compared all-cause and breast cancer-specific mortality between PET and surgery within each group, adjusting for patient preferences and covariates. Sensitivity analyses accounted for competing risks. There were 23,109 patients included. The hazard ratio (HR) comparing PET to surgery for overall survival decreased significantly from 2.1 (95%CI: 2.0, 2.2) to 1.2 (95%CI: 1.1, 1.5) with increasing HFRS and from 2.1 (95%CI: 2.0, 2.2) to 1.4 (95%CI 1.2, 1.7) with rising CCI. However, there was no difference in BCSM for frail older women (HR: 1.2; 0.9, 1.9). There were no differences in competing risk profiles between other causes of death and breast cancer-specific mortality with PET versus surgery, with a subdistribution hazard ratio of 1.1 (0.9, 1.4) for high-level HFRS (p = 0.261) and CCI (p = 0.093). Given limited survival gains from surgery for older patients, PET shows potential as an effective option for frail older women with early-stage breast cancer. Despite surgery outperforming PET, surgery loses its edge as frailty increases, with negligible differences in the very frail.",2024,Feb,Cancers (Basel),16,4,,,10.3390/cancers16040749,38398140,#377,Wang 2024,,,0
Survival rates of systemic interventions for psoriasis in the Western Japan Psoriasis Registry: A multicenter retrospective study.,Yanase T; Tsuruta N; Yamaguchi K; Ohata C; Ohyama B; Katayama E; Sugita K; Kuwashiro M; Hashimoto A; Yonekura K; Higashi Y; Murota H; Koike Y; Matsuzaka Y; Kikuchi S; Hatano Y; Saito K; Takahashi K; Miyagi T; Kaneko S; Ota M; Harada K; Morizane S; Ikeda K; Furue M; Nakahara T; Okazaki F; Sasaki N; Okada E; Yoshida Y; Ito K; Imafuku S,"Psoriasis affects approximately 0.3% of the Japanese population. Recently, various effective systemic drugs have become available, and the continuation of a given treatment has become critical because of the chronic nature of psoriasis. Factors affecting drug survival (the time until treatment discontinuation) in psoriasis treatment include efficacy, safety, ease of use, and patient preference. In the present study, the authors retrospectively surveyed a multifacility patient registry to determine the real-world evidence of the survival rate of systemic interventions for psoriasis treatment. Patients with psoriasis who visited 20 facilities in the Western Japan area between January 2019 and May 2020 and gave written consent were registered as study participants, and their medical history of systemic interventions for psoriasis (starting from 2010) was retrospectively collected and analyzed. The drugs investigated were adalimumab, infliximab, ustekinumab, secukinumab, ixekizumab, brodalumab, guselkumab, risankizumab, cyclosporine, and apremilast. When drugs were discontinued, the reasons were also recorded. A total of 1003 patients with psoriasis including 268 with psoriatic arthritis (PsA) were enrolled. In biologics, more recently released drugs such as interleukin 17 inhibitors showed a numerically higher survival rate in the overall (post-2010) analysis. However, in the subset of patients who began treatment after 2017, the difference in the survival rate among the drugs was smaller. The reasons for discontinuing drugs varied, but a loss of efficacy against dermatological or joint symptoms were relatively frequently seen with some biologics and cyclosporine. The stratification of drug survival rates based on patient characteristics such as bio-naive or experienced, normal weight or obese, and with or without PsA, revealed that bio-experienced, obese, and PsA groups had poorer survival rates for most drugs. No notable safety issues were identified in this study. Overall, the present study revealed that the biologics show differences in their tendency to develop a loss of efficacy, and the factors that negatively impact the survival rate of biologics include the previous use of biologics, obesity, and PsA.",2023,Jun,J Dermatol,50,6,753-765,,10.1111/1346-8138.16737,36786158,#1207,Yanase 2023,,,0
Primary prevention of cancer-associated venous thrombosis: Rationale and challenges in clinical practice.,Elalamy I; Cohen-Solal A; Hanon O; Mirabel M; Mismetti P; Spano JP,"Cancer-associated venous thrombosis (CAT) is a common, multifactor event known to complicate the course of cancer and jeopardize a patient's prognosis. The current guidelines regarding the prevention of CAT are sometimes considered insufficiently precise about specific situations, or are poorly applied. The expected benefits of thromboprophylaxis are balanced by the risk of major bleeding induced by anticoagulation, which implies a need to accurately identify ambulatory patients at high risk of thrombosis or hemorrhage. The Khorana score is commonly used for this, but is limited by the non-reproducibility of predicted performance across cancer types, and by the fact that antitumor treatment and cardiovascular risks are not included. The COMPASS-CAT score, which includes those two aspects, was found to be a more accurate predictor of venous thromboembolism in patients with lung cancer, and to better distinguish between patients at low or high risk of thrombosis. The frailty of patients with cancer is also a major issue, and should be taken into account when thromboprophylaxis is considered. According to current guidelines, CAT prophylaxis should be considered for hospitalized patients, those for whom surgery is scheduled, or those with pancreatic cancers. In ambulatory patients, decisions should be made according to patient, cancer and antitumoral treatment characteristics. Low molecular weight heparin is the gold standard of CAT prophylaxis. Despite increased risks of bleeding or drug-drug interactions in cancer patients, direct oral anticoagulants could be alternate options for high-risk ambulatory patients that should be accompanied by a careful global analysis of benefits, harms, and patient preferences.",2023,Jul-Sep,Curr Res Transl Med,71,3,103405,,10.1016/j.retram.2023.103405,37478777,#1091,Elalamy 2023,,,0
"Factors associated to patients' referral to public or private Covid-19 healthcare centers in Tabriz, Iran.",Jafari N; Akbari H; Sarbakhsh P; Dorosti A; Khayatzadeh S; Mohammadpoorasl A,"BACKGROUND: In Iran, tracking of patients and its associated data recording in private healthcare centers are poor, and thus a majority of patients suffering from Covid-19 are treated without any control on the isolation and quarantine processes. The present study aims to investigate the factors contributed to referral to private or public healthcare centers that provide Covid-19 care services. METHODS: This cross-sectional study was conducted from November 2021 to January 2022 in Tabriz, Iran. We invited a total of 258 and 202Covid-19 patients from governmental and private healthcare centers, respectively, to participate in the study by convenient sampling method. Applying a self-administered questionnaire, we collected data on the reason of referring to the healthcare centers, patient's waiting time, quality of healthcare services received by the patients, patients' level of satisfaction, accessibility, insurance coverage, perceived severity of the disease, and the level of staff compliance from health protocols. Logistic regression model was used for data analysis by using SPSS-26 software. RESULTS: Adjusted for other variables, higher socio-economic status (AOR (Adjusted Odds Ratio) = 6.64), older age (AOR = 1.02), referral of friends and family members (AOR = 1.52), shorter waiting time (AOR = 1.02) and higher satisfaction (AOR = 1.02) were contributed to referral to private centers. Better accessibility (AOR = 0.98) and wider insurance coverage (AOR = 0.99) were also contributed to referral to governmental centers. CONCLUSION: Providing more appropriate insurance coverage by private healthcare centers, and promoting their level of accessibility seems to promote patients' referral to such centers. Moreover, establishing an accurate system for recording patients' information and follow up in private centers might promote the role of private healthcare centers in managing the overload of patients on healthcare system during such epidemics.",2023,Jun,BMC Health Serv Res,23,1,620,,10.1186/s12913-023-09640-z,37312132,#1164,Jafari 2023,,,0
A Narrative Synthesis of Literature on the Barriers to Timely Diagnosis and Treatment of Cancer in Sub-Saharan Africa.,Mwamba M; Lombe DC; Msadabwe S; Bond V; Simwinga M; Sentoogo Ssemata A; Muhumuza R; Seeley J; Mwaka AD; Aggarwal A,"Poor cancer survival outcomes in sub-Saharan Africa (SSA) have been linked to delays in diagnosis and treatment. Here we present a detailed overview of the qualitative literature evaluating the barriers to receiving timely diagnosis and treatment of cancer in SSA. The PubMed, EMBASE, CINAHL, PsycINFO databases were searched to identify qualitative studies reporting on barriers to timely diagnosis of cancer in SSA published between 1995 and 2020. A systematic review methodology was applied, including quality assessment and narrative data synthesis. We identified 39 studies, of which 24 focused on breast or cervical cancer. Only one study focused on prostate cancer and one on lung cancer. When exploring factors contributing to delays, six key themes emerged from the data. The first theme was health service barriers, which included: (i) inadequate numbers of trained specialists; (ii) limited knowledge of cancer among healthcare providers; (iii) poor co-ordination of care; (iv) inadequately resourced health facilities; (v) negative attitudes of healthcare providers towards patients; (vi) high cost of diagnostic and treatment services. The second key theme was patient preference for complementary and alternative medicine; the third was the limited understanding of cancer among the population. The fourth barrier was a patient's personal and family obligations; the fifth was the perceived impact of cancer and its treatment on sexuality, body image and relationships. Finally, the sixth was the stigma and discrimination faced by patients following a diagnosis of cancer. In conclusion, health system, patient level and societal factors all influence the likelihood of timely diagnosis and treatment for cancer in SSA. The results provide a focus for targeting health system interventions, particular with regards to awareness and understanding of cancer in the region.",2023,Sep,Clin Oncol (R Coll Radiol),35,9,e537-e548,,10.1016/j.clon.2023.05.011,37302880,#932,Mwamba 2023,,,0
Nursing leadership to facilitate patient participation in fundamental care: An ethnographic qualitative study.,Bahlman-van Ooijen W; van Belle E; Bank A; de Man-Van Ginkel J; Huisman-de Waal G; Heinen M,"AIMS: To explore and describe hospital nurses' perceptions of leadership behaviours in facilitating patient participation in fundamental care. DESIGN: An ethnographic interview study. METHODS: Individual semi-structured interviews with 12 nurses with a bachelor's or master's degree working at a university medical centre were conducted between February and April 2021. The interview data were analysed using thematic analysis. RESULTS: Six themes were derived from the data: (1) nursing leadership; (2) patient participation; (3) using patients' preferences; (4) building relationships; (5) task-focused nursing; (6) need for role modelling. CONCLUSION: Nurses indicated leadership behaviour to facilitate patient participation in fundamental care as inviting patients to participate and eliciting and supporting patients' preferences. Although nurses also regarded leadership as motivating colleagues to act and enhancing evidence-based practice, they appeared not to practise this themselves about patient participation. Role modelling was indicated as a need for improvement. IMPACT: The findings established that not all leadership behaviours mentioned were used in practice about patient participation in fundamental care. Role modelling and the use of evidence-based practice are needed to increase patient participation. Further research will be necessary to develop and test leadership interventions to improve patient participation in fundamental care.",2023,Mar,J Adv Nurs,79,3,1044-1055,,10.1111/jan.15329,35748056,#1495,Bahlman-vanOoijen 2023,,,0
Prospective Randomized Controlled Trial Comparing Absorbable and Nonabsorbable Sutures in A1 Pulley Release.,Kim YB; Choi YS; Yoon TH; Lee HD,"BACKGROUND: Both absorbable and nonabsorbable sutures are used to correct palmar incisions or lacerations. Nonabsorbable sutures have been used without complications but require removal at a follow-up appointment. Alternatively, the use of absorbable sutures has increased in popularity as postoperative suture removal is not required but is associated with local immunological and inflammatory responses. In this study, we compared the scar quality and outcomes of nonabsorbable and absorbable sutures in A1 pulley release. METHODS: Patients who underwent A1 pulley release were randomized to 1 of 2 suture materials. The Patient Scar Assessment Scale, Observer Scar Assessment Scale, Visual Analogue Scale, and Disabilities of the Arm, Shoulder, and Hand scores were collected at 2, 6, and 12 weeks postoperatively. Among the 41 patients included in the study, 23 were randomized to the nonabsorbable suture group, and 18 to the absorbable suture group. RESULTS: There were no significant differences between the two suture groups in the aforementioned assessments. Complication rates were higher in the nonabsorbable suture group, but the difference was not statistically significant. Notably, 1 case in the absorbable suture group had uncontrolled postoperative bleeding and required reoperation. CONCLUSION: We found no significant difference between the two materials in terms of the Patient or Observer Scar Assessment Scales, overall complication rates, symptom scores, or pain scores. Therefore, the choice using absorbable or nonabsorbable can be guided by other factors such as physician or patient preference, availability, and cost.",2023,Nov,Hand (N Y),,,15589447231210332,,10.1177/15589447231210332,37997760,#661,Kim 2023,,,0
Prevalence and Correlates of Preference-Concordant Care Among Hospitalized People Receiving Maintenance Dialysis.,Kazi BS; Duberstein PR; Kluger BM; Epstein RM; Fiscella KA; Kazi ZS; Dahl SK; Allen RJ; Saeed F,"KEY POINTS: A large proportion of hospitalized patients receiving dialysis report not receiving preference-concordant care. Hospitalized patients on dialysis desiring a comfort-oriented medical plan were likely to report receiving preference-concordant care. BACKGROUND: Preference-concordant care is a cornerstone of high-quality medical decision-making, yet the prevalence and correlates of preference-concordant care have not been well-studied in patients receiving dialysis. We surveyed hospitalized people receiving maintenance dialysis to estimate the prevalence and correlates of preference-concordant care among this population. METHODS: We assessed preference concordance by asking participants (223/380, 59% response rate), “How strongly do you agree or disagree that your current treatment plan meets your preference?” We assessed treatment plan preference by asking whether patients preferred a plan that focused on (1) extending life or (2) relieving pain and discomfort. We assessed shared dialysis decision-making using the 9-item Shared Decision-Making Questionnaire. We examined the differences between those reporting lack of preference-concordant care and those reporting receipt of preference-concordant care using chi-squared analyses. We also studied whether patients' treatment plan preferences or shared dialysis decision-making scores were correlated with their likelihood of receiving preference-concordant care. RESULTS: Of the 213 respondents who provided data on preference concordance, 90 (42.3%) reported that they were not receiving preference-concordant care. Patients who preferred pain and discomfort relief over life extension were less likely (odds ratio, 0.15 [95% confidence interval, 0.08 to 0.28] P = <0.0001) to report receiving preference-concordant care; patients with higher shared decision-making scores were more likely (odds ratio, 1.02 [95% confidence interval, 1.01 to 1.03], P = 0.02) to report preference-concordant care. CONCLUSIONS: A substantial proportion of this sample of hospitalized people receiving maintenance dialysis reported not receiving preference-concordant care. Efforts to improve symptom management and enhance patient engagement in dialysis decision-making may improve the patients' perceptions of receiving preference-concordant care.",2023,Jun,Kidney360,4,6,e751-e758,,10.34067/KID.0000000000000131,37143194,#1195,Kazi 2023,,,0
"Prevalence of Hemorrhoids and Their Risk Factors Among the Adult Population in Jazan, Saudi Arabia.",Oberi IA; Omar Y; Alfaifi AJ; Ayoub RA; Ajeebi Y; Moafa SH; Elhilu AH; Ayoub AH; Gosadi IM,"BACKGROUND: Hemorrhoids are defined as the symptomatic enlargement and distal displacement of the normal anal cushions. They can be either internal, external, or internoexternal, according to their position in relation to the dentate line. They can cause significant financial burdens and personal discomfort. However, the typical symptoms of hemorrhoids include bleeding, pain, skin irritation, fecal leakage, prolapse, mucus secretion, and developing a thrombosed hernia. Nonetheless, research has shown that individuals with and without hemorrhoids equally report these symptoms. This study aims to investigate the prevalence of hemorrhoids and their risk factors among adult subjects in Jazan, Saudi Arabia. METHODS: This investigation was a cross-sectional study targeting adults diagnosed with hemorrhoids in the Jazan region. Data collection was performed via a self-administered questionnaire to measure sociodemographic data of the participants, lifestyle factors associated with hemorrhoids, clinical presentations of the disease, and Rome IV criteria for diagnosis of functional constipation. The chi-squared test was used to assess the frequency of hemorrhoid symptoms according to the participants' sociodemographic and lifestyle characteristics. RESULTS: In the current study, which recruited 361 participants, 59% (216 individuals) reported experiencing at least one symptom of hemorrhoids. The majority of the sample were females (60%), Saudis (96%), and living in urban areas (59%) and had a university education (77.3%). The most common risk factors identified were lack of regular physical activity (83%), prolonged sitting during office work (51%), and consuming food with saturated fat (50%). A total of 44% (159 participants) had a family history of hemorrhoids, and 40% reported suffering from constipation three times or more per week. Only 34% (123 participants) had been diagnosed with hemorrhoids by a physician. Interestingly, the majority of participants (57%) preferred using home remedies instead of seeking medical care from a healthcare professional. When assessing factors associated with experiencing a minimum of six hemorrhoid symptoms per month, age, lifestyle factors, family history of hemorrhoids, and defecation practices were found to be significantly correlated with a higher occurrence of symptoms (with a p-value of less than 0.05). CONCLUSION: The current study identified a high prevalence of hemorrhoid symptoms and their risk factors among the adult population in the Jazan region of Saudi Arabia. The findings suggest a need to increase the awareness of the public about hemorrhoids risk factors and the importance of seeking healthcare at an early stage of the disease.",2023,Sep,Cureus,15,9,e45919,,10.7759/cureus.45919,37885500,#859,Oberi 2023,,,0
Exercise Therapy for Knee and Hip Osteoarthritis: Is There An Ideal Prescription?,Young JJ; Pedersen JR; Bricca A,"PURPOSE OF REVIEW: Exercise therapy is the first line treatment for patients with knee and hip osteoarthritis (OA) but is consistently underutilized. In this review, we aim to provide health care professionals with an overview of the latest evidence in the areas of exercise therapy for OA, which can serve as a guide for incorporating the ideal exercise therapy prescription in the overall management plan for their patients with OA. RECENT FINDINGS: Evidence continues to be produced supporting the use of exercise therapy for all patients with knee or hip OA. Ample evidence exists suggesting exercise therapy is a safe form of treatment, for both joint structures and the patient overall. Several systematic reviews show that exercise therapy is likely to improve patient outcomes, regardless of disease severity or comorbidities. However, no single type of exercise therapy is superior to others. SUMMARY: Health care practitioners and patients should be encouraged to incorporate exercise therapy into treatment plans and can be assured of the safety profile and likelihood of improvement in important patient outcomes. Since no single exercise therapy program shows vastly superior benefit, patient preference and contextual factors should be central to the shared decision-making process when selecting and individualising appropriate exercise therapy prescriptions.",2023,May,Curr Treatm Opt Rheumatol,,,1-17,,10.1007/s40674-023-00205-z,37362069,#1229,Young 2023,,,0
Insomnia and related mental health conditions: Essential neurobiological underpinnings towards reduced polypharmacy utilization rates.,Fornaro M; Caiazza C; De Simone G; Rossano F; de Bartolomeis A,"Insomnia represents a significant public health burden, with a 10% prevalence in the general population. Reduced sleep affects social and working functioning, productivity, and patient's quality of life, leading to a total of $100 billion per year in direct and indirect healthcare costs. Primary insomnia is unrelated to any other mental or medical illness; secondary insomnia co-occurs with other underlying medical, iatrogenic, or mental conditions. Epidemiological studies found a 40-50% comorbidity prevalence between insomnia and psychiatric disorders, suggesting a high relevance of mental health in insomniacs. Sleep disturbances also worsen the outcomes of several psychiatric disorders, leading to more severe psychopathology and incomplete remission, plausibly contributing to treatment-resistant conditions. Insomnia and psychiatric disorder coexistence can lead to polypharmacy, namely, the concurrent use of two or more medications in the same patient, regardless of their purpose or rationale. Polypharmacy increases the risk of using unnecessary drugs, the likelihood of drug interactions and adverse events, and reduces the patient's compliance due to regimen complexity. The workup of insomnia must consider the patient's sleep habits and inquire about any medical and mental concurrent conditions that must be handled to allow insomnia to be remitted adequately. Monotherapy or limited polypharmacy should be preferred, especially in case of multiple comorbidities, promoting multipurpose molecules with sedative properties and with bedtime administration. Also, non-pharmacological interventions for insomnia, such as sleep hygiene, relaxation training and Cognitive Behavioral Therapy may be useful in secondary insomnia to confront behaviors and thoughts contributing to insomnia and help optimizing the pharmacotherapy. However, insomnia therapy should always be patient-tailored, considering drug indications, contraindications, and pharmacokinetics, besides insomnia phenotype, clinical picture, patient preferences, and side effect profile.",2024,Jan,Sleep Med,113,,198-214,,10.1016/j.sleep.2023.11.033,38043331,#514,Fornaro 2024,,,0
Agreement and Reliability of Patient-measured Postvoid Residual Bladder Volumes.,Jalfon M; Gardezi M; Heckscher D; Shaheen D; Maciejewski KR; Li F; Rickey L; Foster H; Cavallo JA,"OBJECTIVE: To assess the reliability, agreement with provider measurement, and patient preferences regarding patient self-measurement of postvoid residual bladder volume (PVR). PVR measurement in the nonhealthcare setting is a valuable opportunity for remote monitoring of voiding dysfunction patients. We hypothesized that patient self-measurement of PVR using a smart-device portable ultrasound system with artificial intelligence would demonstrate high reliability, strong agreement with provider measurement, and be preferred over provider measurements. METHODS: Patients were enrolled during outpatient Urology visits. PVRs were measured in triplicate by providers using each of the following: an FDA-cleared (standard) bladder scanner, the portable ultrasound probe using ultrasound images (Butterfly US image mode), and the portable ultrasound probe using abstract images (Butterfly abstract mode). Subjects self-measured PVRs in triplicate using both imaging modes and reported their experiences via questionnaire. Reliability was assessed via intraclass correlation. Agreement between methods was assessed via Bland-Altman analyses using a clinically acceptable difference threshold of 50 mL. RESULTS: Fifty patients were enrolled. Intraclass correlations ranged from 0.95 to 0.98 for each method. 95% limits of agreement between standard bladder scanner and patient self-measurement were - 71.73 mL and 86.73 mL using Butterfly US image mode and - 93.84 mL and 112.52 mL using Butterfly abstract mode, respectively. Most patients preferred self-measurement over provider measurement (74% vs 26%, respectively). CONCLUSION: Patient self-measurement of PVR using smart-device integrated portable ultrasound probes is feasible, reliable, and preferred by patients. Limits of agreement between patient self-measurement and standard bladder scanner measurements exceeded our clinically acceptable difference threshold, though the inherent error of ultrasound-based bladder volume measurements should be considered. Longitudinal PVR assessments in nonhealthcare settings may facilitate remote monitoring of voiding dysfunction patients.",2024,Feb,Urology,184,,62-68,,10.1016/j.urology.2023.11.026,38092325,#417,Jalfon 2024,,,0
Early safety and efficacy comparison of endoscopic bariatric interventions.,Gudur AR; Geng CX; Podboy A,"BACKGROUND: Intragastric balloon (IGB) placement and endoscopic sleeve gastroplasty (ESG) are the 2 primary endoscopic bariatric therapies currently performed in the United States. Procedural selection is often based primarily on patient preference. There is a paucity of comparative data between these interventions. OBJECTIVES: The aim of this study is to compare the short-term safety and efficacy of IGB to ESG in the largest, direct comparative analysis to date. SETTING: Accredited bariatric centers across the United States and Canada. METHODS: We retrospectively analyzed patients who underwent IGB or ESG from 2016 to 2020 from the Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program database. IGB patients were propensity matched (1:1) to ESG patients. We compared readmissions, reinterventions, serious adverse events (SAE), weight loss, procedure time, and length of stay between the 2 interventions. All outcomes were measured within 30 days of the initial procedure. RESULTS: A total of 1998 pairs of patients who underwent IGB and ESG were propensity matched with no difference in baseline characteristics. Patients who underwent ESG had more readmissions within 30 days. Patients who underwent IGB had more outpatient treatments for dehydration and re-interventions, with 3.7% of patients undergoing early balloon removal less than 30 days from implantation. Both procedures had similarly low rates of SAE (P > .05). ESG led to greater total body weight loss at 30 days. CONCLUSIONS: ESG and IGB are both safe procedures with comparably low rates of SAE. Higher rates of dehydration and re-interventions after IGB suggest that ESG is perhaps better tolerated.",2023,Oct,Surg Obes Relat Dis,19,10,1148-1153,,10.1016/j.soard.2023.03.018,37120354,#842,Gudur 2023,,,0
Comparison of a validated decision-support tool to a standard of care triage system for knee osteoarthritis assessment: a proof-of-concept study.,Wagar P; Chahal S; Siddiqui R; Littlefield S; Fanti C; Cullinan C; Droll K; Marion TE; Cooke TD; Puskas D,"BACKGROUND: Patients with knee osteoarthritis (OA) in northwestern Ontario are referred by their primary care provider (PCP) to a centralized assessment clinic for evaluation by an advanced practice physiotherapist (APP) to determine if they will require surgical management. However, many patients are found to not require surgical management, resulting in delays for patients who do. A decision-support tool was developed to address this issue and to guide treatment options by determining the need for surgical or nonsurgical approaches. METHODS: We used a proof-of-concept method to assess the use of the decision-support tool in northwestern Ontario. Data from 100 consecutive patients assessed for knee OA management were collected from the Thunder Bay centralized assessment clinic. Two levels of agreement analyses (calculated using Cohen κ statistic) were performed, between the APP assessment decision (surgical or non-surgical) and the decision-support tool recommendation, and between the surgeon's decision (surgical or non-surgical) and the decision-support tool recommendation. RESULTS: We found a near-perfect agreement (κ = 0.870, n = 65) between the APP decision and the decision-support tool recommendation, when controlled for patient preference. There was a substantial level of agreement (κ = 0.618, n = 72) between the decision-support tool recommendation and the surgeon's decision. CONCLUSION: The decision-support tool recommendation showed considerable agreement with the decisions of the APP and surgeon indicating that it could be a valuable tool to guide PCPs caring for patients with knee OA. The applicability of a decision-support tool in northwestern Ontario displayed promising results, but further research is needed to examine the feasibility in a primary care setting.",2023,May-Jun,Can J Surg,66,3,E269-E273,,10.1503/cjs.012322,37169385,#1242,Wagar 2023,,,0
Gene Therapy for Hemophilia A: A Mixed Methods Study of Patient Preferences and Shared Decision-Making.,Limjoco J; Thornburg CD,"PURPOSE: As gene therapies for hemophilia are incorporated into clinical practice, shared decision-making (SDM) is recommended for implementation. SDM tools may facilitate informed decision-making for gene therapy and other novel therapies. OBJECTIVE: To inform the development of SDM tools for hemophilia gene therapy. PATIENTS AND METHODS: Men with severe hemophilia were recruited from the National Hemophilia Foundation (NHF) Community Voices in Research (CVR). Semi-structured interviews were completed, and the interviews were transcribed verbatim for quantitative and qualitative analysis. RESULTS: Twenty-five men with severe hemophilia A participated. All participants reported treatment with prophylaxis, nine (36%) on continuous prophylaxis with clotting factor, one (4%) on intermittent prophylaxis with clotting factor, and 15 (60%) on continuous prophylaxis with emicizumab. Ten (40%) indicated that they are excited about gene therapy, 12 (48%) indicated that they are hopeful about gene therapy, one (4%) indicated that they are worried or scared about gene therapy, and one (4%) indicated that they do not have strong feelings about gene therapy. Participants reported engaging Hemophilia Treatment Center, family, and the hemophilia community in their decision-making process. The most reported information needs are efficacy, safety, cost/insurance, mechanism of action, and follow-up. In addition, key information themes that emerged were patient testimonials, hard data and statistics, and comparison to other products. Twenty-two (88%) indicated that a SDM tool would be useful when discussing gene therapy with their hemophilia team. Two indicated that they do their own research, and the tool would not add anything. One needed more information to provide an answer. CONCLUSION: These data highlight the utility of a SDM tool for hemophilia gene therapy and key information needs. Data including comparison to other treatments should be provided along with patient testimonials in a transparent format. Patients will engage the Hemophilia Treatment Center, family, and community members in the decision-making process.",2023,,Patient Prefer Adherence,17,,1093-1105,,10.2147/PPA.S406894,37102127,#1320,Limjoco 2023,,,0
